X, Y, T, Action
1.25631, -1.26021, 2.92315, Turn
1.2543, -1.26651, 2.77783, GoToPosition
1.25272, -1.27061, 2.68338, TurnToAngle
1.23382, -1.25573, 2.83364, Reaction Braitenberg
1.2209, -1.2475, 2.93103, TurnToAngle
1.21302, -1.24333, 2.98958, Turn
1.20224, -1.23859, 3.10065, GoToPosition
1.19682, -1.23672, 3.09539, TurnToAngle
1.19093, -1.2366, 3.09539, Turn
1.19039, -1.24142, 2.98375, TurnToAngle
1.19024, -1.2432, 2.94287, Turn
1.18882, -1.24909, 2.80944, GoToPosition
1.18842, -1.25205, 2.74441, TurnToAngle
1.18806, -1.25396, 2.70159, Turn
1.18576, -1.25792, 2.60091, TurnToAngle
1.18486, -1.25943, 2.56346, GoToPosition
1.18486, -1.25943, 2.56346, TurnToAngle
1.18319, -1.26252, 2.48647, Reaction Braitenberg
1.18156, -1.26463, 2.42797, Reaction Braitenberg
1.18029, -1.26607, 2.38858, Reaction Braitenberg
1.17843, -1.26299, 2.41366, GoToPosition
1.17527, -1.25809, 2.45091, Reaction Braitenberg
1.17164, -1.25319, 2.48966, Reaction Braitenberg
1.16612, -1.24606, 2.54797, Reaction Braitenberg
1.1559, -1.23452, 2.64373, GoToPosition
1.14935, -1.22815, 2.64373, TurnToAngle
1.14935, -1.22815, 2.70124, TurnToAngle
1.12986, -1.21311, 2.85013, GoToPosition
1.12986, -1.21311, 2.84582, GoToPosition
1.12477, -1.21156, 2.84582, TurnToAngle
1.12383, -1.21556, 2.80058, Turn
1.12314, -1.21695, 2.7538, GoToPosition
1.12265, -1.21857, 2.72033, TurnToAngle
1.12048, -1.2231, 2.57143, TurnToAngle
1.11953, -1.22535, 2.51733, Turn
1.11953, -1.22535, 2.4811, Turn
1.11768, -1.229, 2.42842, GoAhead
1.11647, -1.23077, 2.37962, GoToPosition
1.10699, -1.2242, 2.3242, GoToPosition
1.0981, -1.21034, 2.44632, GoToPosition
1.09148, -1.20016, 2.4848, Reaction Braitenberg
1.09148, -1.20016, 2.52322, GoToPosition
1.08793, -1.19521, 2.52322, TurnToAngle
1.07803, -1.18366, 2.61945, GoToPosition
1.06869, -1.17589, 2.67148, TurnToAngle
1.05777, -1.16962, 2.66587, Turn
1.03421, -1.1589, 2.60843, TurnToAngle
1.00458, -1.14811, 2.56289, Turn
1.00171, -1.15317, 2.4348, Turn
0.995636, -1.15357, 2.38611, GoAhead
